millis	acc_0	acc_1	acc_2	gyr_0	gyr_1	gyr_2	mag_0	mag_1	mag_2	Longitude	Latitude	velN	velE	Throttle	Steering
13966	5	-21	-313	7	1	131	1884	668	-12330	nan	nan	nan	nan	132	203
14003	5	-22	-314	6	1	131	1942	634	-12381	nan	nan	nan	nan	133	203
14040	4	-21	-314	6	1	131	1999	668	-12381	nan	nan	nan	nan	119	184
14077	6	-22	-314	6	1	131	1930	724	-12406	nan	nan	nan	nan	105	166
14114	5	-22	-315	7	1	131	1873	645	-12356	nan	nan	nan	nan	113	172
14151	5	-23	-315	6	1	131	1907	668	-12394	nan	nan	nan	nan	117	183
14188	5	-23	-316	7	1	131	1907	690	-12406	nan	nan	nan	nan	126	197
14228	6	-22	-314	6	1	131	1988	690	-12343	nan	nan	nan	nan	118	191
14265	5	-21	-314	7	1	131	1884	645	-12356	nan	nan	nan	nan	129	200
14302	5	-21	-315	5	1	131	1942	657	-12343	nan	nan	nan	nan	126	194
14339	5	-23	-314	7	1	132	1930	690	-12457	nan	nan	nan	nan	109	171
14376	5	-22	-314	6	1	131	1895	645	-12394	nan	nan	nan	nan	106	164
14413	5	-22	-313	5	1	131	1930	601	-12356	nan	nan	nan	nan	111	173
14450	5	-23	-314	7	1	132	1907	634	-12381	nan	nan	nan	nan	128	196
14488	5	-23	-314	6	1	131	1942	668	-12356	nan	nan	nan	nan	129	201
14528	5	-22	-314	6	1	131	1895	623	-12457	nan	nan	nan	nan	126	199
14565	4	-21	-313	6	1	131	1907	657	-12381	nan	nan	nan	nan	135	207
14602	6	-23	-314	6	1	131	1907	645	-12304	nan	nan	nan	nan	129	196
14639	5	-22	-314	6	1	131	1930	634	-12406	nan	nan	nan	nan	112	174
14676	6	-23	-314	6	1	131	1861	679	-12304	nan	nan	nan	nan	108	167
14713	5	-22	-314	6	1	132	1942	645	-12419	nan	nan	nan	nan	110	174
14754	4	-22	-313	6	1	131	1919	690	-12381	nan	nan	nan	nan	111	178
14794	7	-21	-314	7	1	131	1930	690	-12368	nan	nan	nan	nan	105	173
14831	5	-23	-314	6	1	131	1919	612	-12445	nan	nan	nan	nan	120	189
14868	5	-22	-313	7	1	131	1919	612	-12381	nan	nan	nan	nan	136	207
14905	6	-23	-313	6	1	131	1919	634	-12318	nan	nan	nan	nan	134	206
